GroupBase,OriginalFilename,Singapore____0,Singapore____1,Singapore____2,HongKong____0,HongKong____1,HongKong____2,Munich____0,Munich____1,Munich____2,Stockholm____0,Stockholm____1,Stockholm____2,Chicago____0,Chicago____1,Chicago____2,Orlando____0,Orlando____1,Orlando____2,Kinshasa____0,Kinshasa____1,Kinshasa____2,SaoPaulo____0,SaoPaulo____1,SaoPaulo____2,Mexico____0,Mexico____1,Mexico____2,Kigali____0,Kigali____1,Kigali____2
28_55_r0_d1,28_55_r0_d1_cv.jpgHongKong._gt.png,0.45513381335788883,0.3175569477342415,0.27187120949057314,0.7059703798947831,0.6663661461484689,0.2948677332594816,0.29600096381046026,0.2735008516269145,0.4409746399088272,0.17557667213924924,0.20805268199557303,0.18897960863687285,0.41611449097769765,0.5844614168452026,0.5855913251992224,0.20553836135286382,0.1712079370370093,0.15221839379492758,0.11543733669018001,0.10888331138758804,0.1161020170571146,0.6629880006568055,0.588945390040928,0.6100021621217747,0.4481588313759203,0.4668538336349493,0.4704771133636846,0.1213482477793691,0.12181008308363175,0.09767614218311974
76_55_r0_d0,76_55_r0_d0_cv.jpgMexico._gt.png,0.7556048131561983,0.6970885044795941,0.664753876903862,1.2679390761303366,1.324064495554281,1.5640728658119916,5.047122218180448,3.952422454176238,5.0483771702724045,0.7664880449239426,0.7916535334431101,0.4475605496952994,2.1260496506406925,1.7661917594134575,1.1692171091805212,0.2714659562812885,0.3463545442730392,0.22850028823983304,0.13381599885023387,0.0879864075371438,0.10242788410744197,0.9025022571868904,0.7983915683088199,0.8433155464974916,1.2644275303678734,0.4946043364884499,0.4670469586244508,0.14723072679185406,0.15028466386704986,0.14221632034056528
57_74_r0_d0,57_74_r0_d0_cv.jpgChicago._gt.png,0.8283329405444966,0.645719029863947,0.5296985824413859,0.9056269518396147,1.220957752108836,1.222153859398386,3.9791002193248133,4.0423431189883265,3.5376666655574227,0.6332756848418212,0.6468135214203067,0.47383266339168767,1.8197186970092298,1.9533280418479118,0.5038609753710808,0.19816213859277923,0.2981748905718414,0.1625944701607714,0.11749544830394007,0.08998072422437371,0.09390314455210955,0.9726766307222715,0.8398170389443258,0.7249305098909171,0.36530342921500053,0.36945765705575107,0.7938805721722129,0.16862958054645424,0.11830961748018216,0.1662309260185648
26_41_r1_d1,26_41_r1_d1_cv.jpgKigali._gt.png,0.23032914356624223,0.29417813474070137,0.2592652441754908,0.7195902430216429,0.7671360869321525,0.3878043953706565,0.778561866722026,0.9081249267502135,0.2714037961188496,0.4624814791758727,0.3694788315542792,0.4129501546535066,0.5614388531660588,0.41996208887477404,0.27102123692241004,0.2761305362051407,0.24309059446363973,0.1278231701474033,0.07801395502408104,0.13673392990893626,0.07779263522554992,0.5543737774715665,0.5298250944230677,0.43071225845653316,0.4998450821660081,0.6026763344020292,0.6927931540682039,0.08624736884302911,0.08038107603353592,0.07967087772091645
34_90_r0_d0,34_90_r0_d0_cv.jpgKinshasa._gt.png,0.24137974185199437,0.29139654430979134,0.24694767656251132,0.7533020644801399,0.7010528602077775,0.39451341337460233,0.5452916631277113,0.9699936906456714,0.3162357149312702,0.26445731222783797,0.3304639563408091,0.4053943225423645,0.5165422490383207,0.5651050326907243,0.28922287453129136,0.2811121709763229,0.2249473083350067,0.1217485034893707,0.08574523313890449,0.08998063430763387,0.09088415815450003,0.5440664297127623,0.5084051246272066,0.4921143158708801,0.4395110937287991,0.40490003137620806,0.5414319418789709,0.10711976052082355,0.09445867634315142,0.08638890149429335
53_8_r0_d1,53_8_r0_d1_cv.jpgChicago._gt.png,0.23726039330518325,0.2952215554873619,0.24631172017620337,0.6995608530307327,0.7820770272215759,0.3931236693941992,1.5224189228514298,1.2406019545552844,0.2841822856376302,0.4574570614527547,0.3827456502737587,0.40698042732113754,0.8137061175814014,0.4221876524390209,0.28785957765839704,0.2607126828835544,0.23806550205014174,0.11693823493022956,0.07849354111575008,0.14218411608062592,0.07719520056967895,0.5747272199061008,0.5312881822288982,0.4252183136827189,0.4830461927209981,0.6053562323233236,0.677836668091877,0.0862712297638418,0.08047355109243017,0.0765664882597107
40_84_r0_d0,40_84_r0_d0_cv.jpgKinshasa._gt.png,0.6948827295625161,0.48773008436746385,0.47325532934996956,0.8883430816065229,0.634621751382072,0.41428710776373556,4.474502908616094,3.4060850367345847,2.148142929756199,0.6315700474981714,0.591113891536188,0.48023379845647285,3.312624423362198,3.719415377677302,0.40560093492479427,0.33720557736222506,0.560180500714494,0.1621444830906512,0.1506716213456798,0.12264597568548652,0.12627563358898783,0.7082385957954539,0.7158176410459637,0.9928534998059767,0.37765623166884327,0.33356460755526585,0.43227777850793425,0.2018338524080118,0.17406023435515272,0.2118246461181834
60_39_r1_d1,60_39_r1_d1_cv.jpgKinshasa._gt.png,0.5283140755962231,0.5199846548519272,0.4805071357295674,0.5722588241192279,0.49419787932607867,0.46440154049830745,2.445679972927319,2.3738596040179254,1.863177654553001,0.7674597415667304,1.4833316929666034,0.8549182076529832,3.1538490596517224,1.5193772786959308,2.6069772652074463,1.0228667701076848,0.44729487016936764,0.9879914192814904,0.429726330643869,0.23036604326004817,0.2662622685078059,1.0854866625356954,1.1635415283192414,1.516353813811962,0.380332145448343,0.3241217962973715,0.5919166329614746,0.23880912759325293,0.18950386383075238,0.22191311404970473
30_38_r1_d0,30_38_r1_d0_cv.jpgSingapore._gt.png,0.4336572319459174,0.3579673110754511,0.350781408016599,0.8233068038595875,0.7071425286129015,0.3143188129575656,0.31859797058992717,0.3039186934079771,0.5218686683289161,0.1913957016000868,0.19886420873236602,0.20432449695999047,0.5123523490794214,0.6944304303986828,0.6341050185621571,0.2324123585753987,0.17549170196769046,0.17049144122250345,0.12476550043609973,0.1324381699345222,0.12025058605034883,0.6334562265179957,0.5827619570825991,0.6098035082635325,0.43377084126664434,0.44354597803023715,0.4836214140436748,0.10631866572014496,0.12936791470710024,0.11077584363754886
34_20_r1_d1,34_20_r1_d1_cv.jpgKinshasa._gt.png,0.5507953100180676,0.6898550294504967,0.9783714283403533,0.9419198200919636,1.034483359103775,0.8226544745869069,4.206193750442588,3.5486871185039637,4.184785718095256,0.6271955520329866,0.7570770249750786,0.662400228651808,1.7089529217902746,1.7878912933223765,1.2654436441511352,0.2708955943229703,0.507958691898617,0.19466057649320465,0.09615612500975772,0.10396239626401779,0.09046488446184117,0.7060279687148359,0.6763276838135062,0.5733499475486605,0.4034911671244099,0.42479893700507093,1.1508485566728632,0.1437421746109303,0.16617622956306333,0.11332159373626473
39_48_r1_d1,39_48_r1_d1_cv.jpgStockholm._gt.png,0.5298255167793541,0.5199314487657976,0.4762402404834575,0.5588724183461163,0.4808906558100134,0.4684138210948422,2.472777519014446,2.4120808184529308,1.44137894361293,0.7366736985284879,1.3420062942122677,0.843033657928012,2.9899946054760367,1.762357813022216,2.073210054518422,1.056662543968283,0.42516079711563,0.5639608153629088,0.4038410537256932,0.2227640110942375,0.28534173379787353,1.04816978041752,1.1474310956125264,1.4545835984235747,0.3242667918054249,0.31834422221390835,0.5306340313585243,0.22939468619730904,0.18851002059978783,0.21805490027416818
37_71_r0_d0,37_71_r0_d0_cv.jpgMexico._gt.png,0.22520239716094512,0.2275951033580095,0.26259737692005364,0.27696978562520236,0.2721634677363181,0.2940420071176686,0.43999122645819444,0.4501771558143373,0.6213227523317546,0.19506585105330668,0.22075480995265753,0.19184879329924298,0.6862127149392764,0.6107917800664981,0.6565067313025574,0.2883748342950348,0.25225268471015444,0.25596643950477665,0.09754077825364675,0.11857827162739887,0.11812274999340115,0.6718596376743444,0.6495956014176336,0.6207029340024964,0.404794348233183,0.3631744412881344,0.4993040014720027,0.09770607431983808,0.11116852996079388,0.12393659561029835
17_42_r0_d1,17_42_r0_d1_cv.jpgKigali._gt.png,0.6370515117270479,0.46405787248512204,0.7512306290750567,0.7781375271410507,0.7515806016075803,0.5864169268241021,4.853144515594002,3.647005659953109,3.005627158938558,0.5053689164506213,0.8693572388865578,0.5714848736579443,3.1046292182100004,2.971280581424653,1.9113688933140947,0.2639669481288183,0.2543906358614695,0.16426206808497817,0.11770460956566375,0.09663523815013923,0.09103544764230957,0.5539689196850449,0.5918689989238773,0.5767464258469809,0.9771414599460695,1.01687469111423,0.9378168950653635,0.11844422545304269,0.07040117731277087,0.10565424264029935
22_35_r1_d1,22_35_r1_d1_cv.jpgStockholm._gt.png,0.7009871838270556,0.7549012856905756,0.5659911198187547,1.0074774684999284,1.267056081959352,0.8603139303700446,3.1841233639538986,6.052883558361326,5.386653014552198,0.4460254244523676,0.651460289229537,0.5487579198842141,1.0462421854720452,0.9165753056730318,0.7865830165936204,0.38434418695444766,0.3778507390023078,0.4344619282550593,0.12418635057802112,0.1713075427537242,0.1736879256087068,0.9706345767802704,0.884980451964715,1.0924646884799294,1.0826475171598504,0.5638117155854888,0.4785535367933662,0.19623172687061197,0.2090638417903283,0.16022484834986336
57_37_r0_d1,57_37_r0_d1_cv.jpgMexico._gt.png,0.4339444472014875,0.4500549770244106,0.3856252688278382,0.3452812066642173,0.5231024498728911,0.7946210056706441,4.385747881322284,4.070862393080548,2.9758807276381414,0.5196015740654111,0.4435748372739472,0.4205252320209074,1.6025288142109058,1.092189476063366,0.8952938389019182,0.2516291684128328,0.2832863310139965,0.18888301874902572,0.1087210915572291,0.09073051517113459,0.08620561802418843,0.6139150668451839,0.6504077399193048,0.552397009352706,0.8699352596005592,0.40075137346136036,0.8087338466300044,0.11931926044698139,0.07943080541327026,0.08507062463361853
68_51_r0_d0,68_51_r0_d0_cv.jpgSaoPaulo._gt.png,0.8553996277585393,0.7727435992446408,0.6879887215732305,1.496461153347511,0.6355154236523122,1.6597233240809293,5.787460564896464,4.977807473939727,4.812678250250406,0.570591668307432,1.0270730469311093,0.6339620406976318,2.97284076169983,1.915139890848106,0.6124674732751082,0.4122684345195521,0.25533808713946926,0.2825650436667438,0.14827074974942797,0.13493179567043762,0.11806817032461253,0.9749977145989905,0.8531572528348915,1.026520236987286,0.6148861375136767,0.41611164696365993,1.9021519564691625,0.2631513793076738,0.2477845468018668,0.31675243553172916
25_27_r0_d0,25_27_r0_d0_cv.jpgMunich._gt.png,0.5114405288002017,0.4283367824044035,0.4047080959003215,1.0238220174664312,0.7237350644385296,0.8750298047555043,3.0633860578705208,2.269012644089933,3.1124589237918845,0.574455525288322,0.7079898214958302,0.3876939252662487,2.200776035078248,0.8502393951225822,2.069448018231109,0.22569038225675467,0.24715203870811092,0.1991001788725207,0.08931764250192703,0.08134679309632725,0.08049083190133911,0.507882525781206,0.6038526267664638,0.45627439290760957,1.0463061143177692,1.0703678961654806,0.7118300224774176,0.07436725263917651,0.07705521267432414,0.06732323894735782
21_39_r0_d0,21_39_r0_d0_cv.jpgSaoPaulo._gt.png,1.0748842213327008,0.724435372532891,0.7980253587482002,2.2101268977162833,1.1061610313604615,1.0146000128987362,3.432198613083805,3.5316094329995686,4.612205593838822,0.5341831916730444,0.6538428536666033,0.7384443884065695,2.5748208003321778,2.6008565918992974,0.32535774233501613,0.5823507048754837,0.31681588197395105,0.16106803274575304,0.12057933596666226,0.13665816850764123,0.10957971516488783,0.8515729844663656,0.7343944438456456,0.8772176230714395,0.3452974684958863,0.3190725711230916,2.1119428160617755,0.24741202781251376,0.26756690069238176,0.2954738107507983
