base,city,img1_L2,img2_L2,img3_L2,mean_L2,max_L2,up25per_L2,img1_PSNR,img2_PSNR,img3_PSNR,mean_PSNR,max_PSNR,up25per_PSNR,img1_SSIM,img2_SSIM,img3_SSIM,mean_SSIM,max_SSIM,up25per_SSIM,img1_LPIPS,img2_LPIPS,img3_LPIPS,mean_LPIPS,max_LPIPS,up25per_LPIPS
38_12_r0_d0,Mexico,139.9453278,125.1125641,136.5534821,133.870458,139.9453278,138.2494049,8.857006073,9.830153465,9.07011795,9.25242583,9.830153465,9.450135708,0.051089477,0.067559078,0.047649294,0.055432616,0.067559078,0.059324278,0.496095747,0.523104668,0.533374906,0.517525107,0.533374906,0.528239787
14_44_r1_d0,Orlando,105.0791245,99.68559265,104.1911011,102.9852727,105.0791245,104.6351128,11.31171417,11.66619587,11.28223133,11.42004712,11.66619587,11.48895502,0.237703755,0.241953045,0.231263816,0.236973539,0.241953045,0.2398284,0.374115825,0.358455598,0.392702818,0.375091414,0.392702818,0.383409321
25_27_r0_d0,Munich,104.0848465,100.7546387,106.6118164,103.8171005,106.6118164,105.3483315,11.42842293,11.7108717,11.22006512,11.45311991,11.7108717,11.56964731,0.059180591,0.063370675,0.05017883,0.057576699,0.063370675,0.061275633,0.446619749,0.411774099,0.446331084,0.434908311,0.446619749,0.446475416
40_75_r1_d1,Singapore,163.9700317,161.4610901,151.0627594,158.8312937,163.9700317,162.7155609,7.480882645,7.614814281,8.193023682,7.762906869,8.193023682,7.903918982,0.045663036,0.043828998,0.071747862,0.053746632,0.071747862,0.058705449,0.527722299,0.526074171,0.534298837,0.529365102,0.534298837,0.531010568
31_32_r1_d1,HongKong,103.5451889,84.72978973,103.7786636,97.35121409,103.7786636,103.6619263,11.47357368,13.21545029,11.45401001,12.04767799,13.21545029,12.34451199,0.104566887,0.164651632,0.144869104,0.138029208,0.164651632,0.154760368,0.451945782,0.423739195,0.48213771,0.452607562,0.48213771,0.467041746
14_75_r0_d0,Chicago,124.4830856,112.1910248,129.1755219,121.9498774,129.1755219,126.8293037,9.736637115,10.77700901,9.484173775,9.9992733,10.77700901,10.25682306,0.078288503,0.081394792,0.072320357,0.077334551,0.081394792,0.079841647,0.516597927,0.449363798,0.505160809,0.490374178,0.516597927,0.510879368
62_14_r0_d0,Mexico,122.7415924,123.7421722,131.7832336,126.0889994,131.7832336,127.7627029,9.996336937,9.92581749,9.378968239,9.767040888,9.996336937,9.961077213,0.02590728,0.033493079,0.013824435,0.024408265,0.033493079,0.02970018,0.429189503,0.418726474,0.375857472,0.407924483,0.429189503,0.423957989
30_41_r0_d2,HongKong,128.1365814,136.3320923,133.3485413,132.6057383,136.3320923,134.8403168,9.622710228,9.084211349,9.276407242,9.327776273,9.622710228,9.449558735,0.039923526,0.039765947,0.043227296,0.040972256,0.043227296,0.041575411,0.400463074,0.424396276,0.44388929,0.422916214,0.44388929,0.434142783
29_5_r0_d0,SaoPaulo,143.8533478,146.924057,150.026123,146.9345093,150.026123,148.47509,8.617773056,8.434313774,8.25283432,8.434973717,8.617773056,8.526043415,0.032464541,0.038279455,0.037582871,0.036108956,0.038279455,0.037931163,0.435244679,0.475504637,0.463732332,0.458160549,0.475504637,0.469618484
42_21_r1_d0,HongKong,53.38233948,48.21326065,54.191082,51.92889404,54.191082,53.78671074,17.05621719,17.90602493,16.67893791,17.21372668,17.90602493,17.48112106,0.190034121,0.205809042,0.212299347,0.20271417,0.212299347,0.209054194,0.465857565,0.452899396,0.467474669,0.46207721,0.467474669,0.466666117
21_59_r0_d1,Mexico,103.2014084,100.7332916,97.06921387,100.334638,103.2014084,101.96735,11.50245953,11.71271133,12.03454113,11.749904,12.03454113,11.87362623,0.128416955,0.109414473,0.137486696,0.125106042,0.137486696,0.132951826,0.506979167,0.512188256,0.510539234,0.509902219,0.512188256,0.511363745
7_17_r0_d1,SaoPaulo,135.4700623,134.3177795,137.7147217,135.8341878,137.7147217,136.592392,9.139305115,9.21350193,8.996563911,9.116456985,9.21350193,9.176403522,0.020345431,0.024743339,0.017889889,0.020992886,0.024743339,0.022544385,0.396025836,0.402814299,0.416697323,0.405179153,0.416697323,0.409755811
