base,city,img1_2SSIM,img1_2MS_SSIM,img1_2LPIPS,img2_3SSIM,img2_3MS_SSIM,img2_3LPIPS,img1_3SSIM,img1_3MS_SSIM,img1_3LPIPS,mean_SSIM,mean_MS_SSIM,mean_LPIPS
52_17_r1_d1,Munich,0.2234886884689331,0.19941575825214386,0.4503886103630066,0.17534193396568298,0.17580004036426544,0.45508575439453125,0.11915287375450134,0.0,0.4870741069316864,0.17266116539637247,0.12507193287213644,0.4641828238964081
34_48_r0_d0,SaoPaulo,0.05523732304573059,0.03491099551320076,0.43652331829071045,0.053332582116127014,0.013328451663255692,0.44558918476104736,0.06268943846225739,0.11016643792390823,0.3727357089519501,0.057086447874704994,0.05280196170012156,0.4182827373345693
19_43_r0_d0,Singapore,0.05493248999118805,0.07126586884260178,0.4743380546569824,0.07251973450183868,0.10840766876935959,0.44632846117019653,0.044115349650382996,0.0,0.505693793296814,0.057189191381136574,0.05989117920398712,0.4754534363746643
60_39_r1_d1,Kinshasa,0.19662730395793915,0.47330915927886963,0.2698943316936493,0.19413027167320251,0.5426059365272522,0.2383054494857788,0.18091733753681183,0.5002544522285461,0.2740139663219452,0.19055830438931784,0.5053898493448893,0.2607379158337911
13_40_r0_d0,Munich,0.25294411182403564,0.24054746329784393,0.49224191904067993,0.2289971113204956,0.13449402153491974,0.5212975144386292,0.17440183460712433,0.16111275553703308,0.5768597722053528,0.21878101925055185,0.1787180801232656,0.530133068561554
82_65_r1_d0,Orlando,0.3370239734649658,0.4243873357772827,0.3997899889945984,0.22229896485805511,0.11684644222259521,0.6441035866737366,0.24095861613750458,0.1218169629573822,0.6373565196990967,0.2667605181535085,0.22101691365242004,0.5604166984558105
60_37_r1_d1,Kinshasa,0.2241727113723755,0.067319855093956,0.3889583945274353,0.21148379147052765,0.10092848539352417,0.4007399380207062,0.2206975221633911,0.17425064742565155,0.43041789531707764,0.21878467500209808,0.11416632930437724,0.40670540928840637
17_8_r1_d0,Singapore,0.06381059437990189,0.10967206209897995,0.4440114498138428,0.08148574829101562,0.2238149493932724,0.43844640254974365,0.0628717839717865,0.08561912178993225,0.41355183720588684,0.06938937554756801,0.13970204442739487,0.4320032298564911
57_74_r0_d0,Chicago,0.07118253409862518,0.2295048087835312,0.34777846932411194,0.06371000409126282,0.14551767706871033,0.49989280104637146,0.07674148678779602,0.1680951863527298,0.49822163581848145,0.07054467499256134,0.18103922406832376,0.44863096872965497
53_39_r0_d0,Mexico,0.09607041627168655,0.18815143406391144,0.31643354892730713,0.07559443265199661,0.15484580397605896,0.35754257440567017,0.07777894288301468,0.13699965178966522,0.34811142086982727,0.08314793060223262,0.1599989632765452,0.3406958480676015
